НомерАвто,МаркаАвто,Штрафы
9901TM178RUS,Volvo,1000
O77997197RUS,Ford Focus,5600
T6419O50RUS,Ford Focus,9000
Y351O8197RUS,Ford Focus,1500
9141H8178RUS,Skoda Octavia,600
9132EE178RUS,Volkswagen Golf,500
Y344E877RUS,Ford Focus,1000
O719MM163RUS,Ford Focus,4600
Y355EY197RUS,Volkswagen Golf,3500
9884HX152RUS,Ford Focus,3600
C514X938RUS,Ford Focus,2700
Y354O8197RUS,Ford Focus,10800
C584EY154RUS,Ford Focus,500
97998K152RUS,Ford Focus,6300
7149OE161RUS,Ford Focus,800
T6488M116RUS,Ford Focus,21000
9582EY178RUS,Ford Focus,1300
7065C8197RUS,Volkswagen,3800
89557X197RUS,Toyota Camry,11200
9939KK197RUS,Ford Focus,1600
T941CC96RUS,Ford Focus,1000
O50899163RUS,Ford Focus,2500
K27188138RUS,Ford Focus,1000
H975HY161RUS,Ford Focus,2000
H968HY161RUS,Ford Focus,2400
E41977152RUS,Ford Focus,2400
O22397197RUS,Ford Focus,74000
T119CT96RUS,Ford Focus,2000
M586CH197RUS,Volkswagen Passat,6200
O177O7161RUS,Volkswagen Golf,700
Y7229Y50RUS,Ford Focus,2500
T948OM96RUS,Ford Focus,2000
704787163RUS,Ford Focus,5600
8224XX154RUS,Ford Focus,2500
94178K154RUS,Ford Focus,1000
9453OK178RUS,Volkswagen Jetta,5000
E41977152RUS,Ford Focus,2400
Y652O8197RUS,Volkswagen Touareg,11600
9409H7178RUS,Skoda Octavia,3000
X018HY197RUS,Toyota Camry,10600
M0289X197RUS,Ford Focus,40600
H889YK197RUS,Ford Focus,21200
T941CC96RUS,Ford Focus,1000
Y302E877RUS,Ford Focus,1000
7781KT197RUS,Ford Focus,900
9472EX178RUS,Ford Focus,100
K339T8197RUS,Ford Focus,38400
7788KT197RUS,Ford Focus,4000
T948OM96RUS,Ford Focus,3000
X759HY197RUS,Ford Focus,50000
8513XX154RUS,Ford Focus,4500
H004MH197RUS,Ford Focus,39600
Y274O8197RUS,Ford Focus,74900
8316XX154RUS,Ford Focus,2200
9453OK178RUS,Volkswagen Jetta,2500
7370C8197RUS,Ford Focus,5000
X760HY197RUS,Ford Focus,20200
E53488152RUS,Ford Focus,1800
M580CH197RUS,Ford Focus,19000
9028CO161RUS,Ford Focus,3000
Y965O8197RUS,Ford Focus,1600
O22097197RUS,Ford Focus,16200
9604HY161RUS,Ford Focus,500
E432XX77RUS,Toyota Camry,6500
C798ET50RUS,Ford Focus,5000
K328T8197RUS,Volkswagen Golf,300
8166XX154RUS,Ford Focus,600
X761HY197RUS,Ford Focus,36600
M0269X197RUS,Ford Focus,10300
Y965O8197RUS,Ford Focus,1600
T395OT197RUS,Volkswagen Touareg,1200
9901TM178RUS,Volvo,1000
K27088138RUS,Ford Focus,2000
H970HY161RUS,Ford Focus,300
X242EC197RUS,Volkswagen Golf,10600
E34177152RUS,Ford Focus,1400
M0319X197RUS,Ford Focus,13500
7368C8197RUS,Ford Focus,4400
9498KX178RUS,Ford Focus,800
Y653E8750RUS,Skoda Octavia,500
X762HY197RUS,Ford Focus,1000
T479KX197RUS,Ford Focus,12000
O136HO197RUS,Toyota Corolla,3900
96629X178RUS,Ford Focus,3500
H976HY161RUS,Ford Focus,1100
E316EH197RUS,Volkswagen Touareg,1300
Y359O8197RUS,Ford Focus,4000
98047H178RUS,Ford Focus,500
H966HY161RUS,Ford Focus,500
84438C154RUS,Ford Focus,7600
Y166O8161RUS,Ford Focus,100
9022CO161RUS,Ford Focus,500
8226XX154RUS,Ford Focus,500
C583EY154RUS,Ford Focus,2500
C581EY154RUS,Ford Focus,11600
X583HE161RUS,Ford Focus,3000
T6458M116RUS,Ford Focus,15000
Y163O8161RUS,Ford Focus,1600
T940CC96RUS,Ford Focus,500
H215X836RUS,Ford Focus,2600
9402KK197RUS,Toyota Camry,28800
M577M9197RUS,Skoda Octavia,3000
M5039X197RUS,Volkswagen Jetta,14800
E316EH197RUS,Volkswagen Touareg,1300
9141H8178RUS,Skoda Octavia,300
Y7249Y50RUS,Ford Focus,11000
