НомерАвто,МаркаАвто,Возмещено,Штрафы
C584EY154RUS,Ford Focus,1,500
8610T8154RUS,Ford Focus,1,2000
T6419O50RUS,Ford Focus,1,27000
97977H178RUS,Ford Focus,1,1000
Y963O8197RUS,Ford Focus,2,21600
T406CT96RUS,Volkswagen Golf,1,300
M3879X197RUS,Volkswagen Touareg,2,6300
8513XX154RUS,Ford Focus,2,1500
K2817K154RUS,Ford Focus,1,1500
T913CT197RUS,Toyota Camry,2,23700
H961HY161RUS,Ford Focus,1,2500
96659X178RUS,Ford Focus,2,3600
C592EY154RUS,Ford Focus,1,1000
K889HY161RUS,Ford Mondeo,,23100
7783KT197RUS,Ford Focus,1,12000
83298C154RUS,Ford Focus,1,100
Y974O8197RUS,Ford Focus,1,9800
C412X938RUS,Ford Focus,1,1000
T69999116RUS,Ford Focus,2,3000
T6029O50RUS,Ford Focus,2,12500
T6309O50RUS,Ford Focus,1,12000
Y7429Y50RUS,Ford Focus,1,1000
O134HE197RUS,Ford Focus,2,7600
C581EY154RUS,Ford Focus,2,5800
T6539O50RUS,Ford Focus,1,1000
O515CX197RUS,Ford Mondeo,2,15600
Y652E8750RUS,Skoda Octavia,2,7000
Y356O8197RUS,Ford Focus,1,30600
X759HY197RUS,Ford Focus,2,12500
H971HY161RUS,Ford Focus,2,7400
7827C8197RUS,Ford Focus,2,15000
Y255E877RUS,Ford Focus,1,2500
9883HX152RUS,Ford Focus,1,1000
O137HE197RUS,Volkswagen Golf,2,33900
7193TT36RUS,Ford Focus,2,3300
O3249C163RUS,Ford Focus,2,4300
E160YX77RUS,Ford Focus,2,2200
T6549O50RUS,Ford Focus,1,3500
Y974O8197RUS,Ford Focus,1,9800
8441XX154RUS,Ford Focus,1,500
7831C8197RUS,Ford Focus,1,3400
T6329O50RUS,Ford Focus,1,1000
T6229O50RUS,Ford Focus,2,2500
96907X197RUS,BMW,2,12000
K2817K154RUS,Ford Focus,2,3000
H966HY161RUS,Ford Focus,1,500
T288CT96RUS,Ford Focus,2,3000
C58078163RUS,Ford Focus,1,100
K522OH152RUS,Ford Focus,2,2500
M374CH197RUS,Ford Focus,2,5500
K436MO152RUS,Ford Focus,1,1500
E591HE77RUS,Ford Focus,1,6000
708487163RUS,Ford Focus,2,1000
7184TT36RUS,Ford Focus,2,2100
Y163O8161RUS,Ford Focus,2,3200
M301CH161RUS,Ford Focus,2,8000
X325MK197RUS,Ford Focus,1,2200
K558KC161RUS,Ford Focus,1,500
X763HY197RUS,Ford Focus,2,9500
Y7339Y50RUS,Ford Focus,1,1500
X325MK197RUS,Ford Focus,2,2200
Y273O8197RUS,Ford Focus,2,52600
O39997197RUS,Ford Focus,2,9000
M0269X197RUS,Ford Focus,1,10300
89587X197RUS,Toyota Camry,2,13200
T6549O50RUS,Ford Focus,2,3500
K330T8197RUS,Skoda Octavia,2,4100
H385TM197RUS,Volkswagen Passat,2,9500
99209X178RUS,Skoda Octavia,1,500
9474EX178RUS,Ford Focus,1,500
9494KX178RUS,Skoda Octavia,1,1000
X522OM161RUS,Ford Focus,1,1500
X765HY197RUS,Ford Focus,1,27800
9589EY178RUS,Ford Focus,1,500
7064C8197RUS,Volkswagen Passat,1,25600
91707O154RUS,Ford Focus,2,6400
M2169X197RUS,Ford Focus,1,3100
Y273O8197RUS,Ford Focus,2,26300
Y166O8161RUS,Ford Focus,1,100
7172TT36RUS,Ford Focus,2,5700
O481OH77RUS,Toyota Camry,2,6000
X522OM161RUS,Ford Focus,1,3000
T912CT197RUS,Toyota Camry,1,9900
H305T8197RUS,Ford Focus,2,84300
H983HY161RUS,Ford Focus,1,500
8602T8154RUS,Ford Focus,2,1000
Y302E877RUS,Ford Focus,1,500
9469EX178RUS,Ford Focus,1,2100
C515X938RUS,Ford Focus,2,1900
9137X938RUS,Ford Focus,1,3200
9468EX178RUS,Ford Focus,1,2000
T478KX197RUS,Ford Focus,2,7500
O02597197RUS,Ford Focus,1,800
8226XX154RUS,Ford Focus,1,500
E28777161RUS,Ford Focus,1,800
82337X197RUS,Ford Focus,2,2100
Y1149C197RUS,Toyota Camry,2,20400
96599X178RUS,Ford Focus,2,1000
Y214O8161RUS,Ford Focus,1,1300
C313MM99RUS,Toyota Camry,2,7500
M701T9152RUS,Ford Focus,2,3000
O39897197RUS,Ford Focus,2,3800
H906YK197RUS,Ford Focus,2,24000
E816HE77RUS,Ford Focus,1,3000
8234XX154RUS,Ford Focus,1,1300
96629X178RUS,Ford Focus,1,3500
E577HE77RUS,Ford Focus,1,6000
O421OT161RUS,Skoda Octavia,2,1800
8309XX154RUS,Ford Focus,1,1500
92778M178RUS,Ford Focus,1,3000
Y7129Y50RUS,Ford Focus,1,8000
8439XX154RUS,Ford Focus,2,9200
Y6829Y50RUS,Ford Focus,1,1000
H387TM197RUS,Volkswagen Passat,2,1600
8164XX154RUS,Ford Focus,1,4400
O02597197RUS,Ford Focus,2,800
K328T8197RUS,Volkswagen Golf,1,300
98087H178RUS,Ford Focus,1,1000
K2677K154RUS,Ford Focus,2,4000
Y1149C197RUS,Toyota Camry,1,13600
T017OX197RUS,Toyota Corolla,1,12700
H235YH197RUS,Skoda Octavia,1,5100
M372CH197RUS,Ford Focus,2,14400
Y8259C197RUS,Ford Focus,1,1500
T394OT197RUS,Volkswagen,2,2200
K330T8197RUS,Skoda Octavia,2,8200
9179CE154RUS,Ford Focus,1,500
95988M178RUS,Ford Focus,1,200
M586CH197RUS,Volkswagen Passat,2,6200
H219X836RUS,Ford Focus,1,3200
K889HY161RUS,Ford Mondeo,1,69300
Y388E877RUS,Ford Focus,2,9500
M5039X197RUS,Volkswagen Jetta,2,7400
H967HY161RUS,Ford Focus,2,4500
Y8259C197RUS,Ford Focus,2,6000
T477KX197RUS,Ford Focus,2,94000
X018HY197RUS,Toyota Camry,1,10600
M516CH161RUS,Ford Focus,1,500
K27188138RUS,Ford Focus,1,2000
9467EX178RUS,Ford Focus,1,3700
8446XX154RUS,Ford Focus,1,900
H983HY161RUS,Ford Focus,1,500
X320MK197RUS,Ford Focus,2,15000
708187163RUS,Ford Focus,1,2000
H983HY161RUS,Ford Focus,2,1500
E5878M777RUS,Skoda Octavia,2,17000
Y038E877RUS,Ford Focus,2,6500
K326T8197RUS,Volkswagen Passat,1,100
X767HY197RUS,Ford Focus,2,36000
H889YK197RUS,Ford Focus,1,10600
K2807K154RUS,Ford Focus,1,1500
H837YK197RUS,Audi,2,4200
8049HT125RUS,Ford Focus,2,500
T020MM116RUS,Skoda Octavia,2,3000
8226XX154RUS,Ford Focus,1,1500
E591HE77RUS,Ford Focus,1,6000
Y275O8197RUS,Ford Focus,1,6000
C313MM99RUS,Toyota Camry,2,7500
C411X938RUS,Ford Focus,1,1300
E40877152RUS,Ford Focus,2,3000
9884HX152RUS,Ford Focus,2,7200
708187163RUS,Ford Focus,1,1000
X767HY197RUS,Ford Focus,1,90000
T6399O50RUS,Ford Focus,2,29000
Y214O8161RUS,Ford Focus,1,1300
8446XX154RUS,Ford Focus,1,900
9901TM178RUS,Volvo,1,1000
O77997197RUS,Ford Focus,2,5600
T6419O50RUS,Ford Focus,1,9000
Y351O8197RUS,Ford Focus,1,1500
9141H8178RUS,Skoda Octavia,1,600
9132EE178RUS,Volkswagen Golf,1,500
Y344E877RUS,Ford Focus,1,1000
O719MM163RUS,Ford Focus,1,4600
Y355EY197RUS,Volkswagen Golf,1,3500
9884HX152RUS,Ford Focus,2,3600
C514X938RUS,Ford Focus,1,2700
Y354O8197RUS,Ford Focus,2,10800
C584EY154RUS,Ford Focus,1,500
97998K152RUS,Ford Focus,2,6300
7149OE161RUS,Ford Focus,1,800
T6488M116RUS,Ford Focus,2,21000
9582EY178RUS,Ford Focus,1,1300
7065C8197RUS,Volkswagen,2,3800
89557X197RUS,Toyota Camry,,11200
9939KK197RUS,Ford Focus,1,1600
T941CC96RUS,Ford Focus,1,1000
O50899163RUS,Ford Focus,2,2500
K27188138RUS,Ford Focus,1,1000
H975HY161RUS,Ford Focus,2,2000
H968HY161RUS,Ford Focus,1,2400
E41977152RUS,Ford Focus,2,2400
O22397197RUS,Ford Focus,2,74000
T119CT96RUS,Ford Focus,1,2000
M586CH197RUS,Volkswagen Passat,1,6200
O177O7161RUS,Volkswagen Golf,2,700
Y7229Y50RUS,Ford Focus,1,2500
T948OM96RUS,Ford Focus,1,2000
704787163RUS,Ford Focus,2,5600
8224XX154RUS,Ford Focus,2,2500
94178K154RUS,Ford Focus,1,1000
9453OK178RUS,Volkswagen Jetta,1,5000
E41977152RUS,Ford Focus,2,2400
Y652O8197RUS,Volkswagen Touareg,,11600
9409H7178RUS,Skoda Octavia,1,3000
X018HY197RUS,Toyota Camry,2,10600
M0289X197RUS,Ford Focus,1,40600
H889YK197RUS,Ford Focus,,21200
T941CC96RUS,Ford Focus,2,1000
Y302E877RUS,Ford Focus,1,1000
7781KT197RUS,Ford Focus,1,900
9472EX178RUS,Ford Focus,1,100
K339T8197RUS,Ford Focus,2,38400
7788KT197RUS,Ford Focus,1,4000
T948OM96RUS,Ford Focus,2,3000
X759HY197RUS,Ford Focus,2,50000
8513XX154RUS,Ford Focus,2,4500
H004MH197RUS,Ford Focus,2,39600
Y274O8197RUS,Ford Focus,2,74900
8316XX154RUS,Ford Focus,2,2200
9453OK178RUS,Volkswagen Jetta,1,2500
7370C8197RUS,Ford Focus,2,5000
X760HY197RUS,Ford Focus,1,20200
E53488152RUS,Ford Focus,2,1800
M580CH197RUS,Ford Focus,2,19000
9028CO161RUS,Ford Focus,1,3000
Y965O8197RUS,Ford Focus,1,1600
O22097197RUS,Ford Focus,2,16200
9604HY161RUS,Ford Focus,1,500
E432XX77RUS,Toyota Camry,2,6500
C798ET50RUS,Ford Focus,2,5000
K328T8197RUS,Volkswagen Golf,1,300
8166XX154RUS,Ford Focus,1,600
X761HY197RUS,Ford Focus,1,36600
M0269X197RUS,Ford Focus,2,10300
Y965O8197RUS,Ford Focus,2,1600
T395OT197RUS,Volkswagen Touareg,2,1200
9901TM178RUS,Volvo,1,1000
K27088138RUS,Ford Focus,2,2000
H970HY161RUS,Ford Focus,1,300
X242EC197RUS,Volkswagen Golf,1,10600
E34177152RUS,Ford Focus,1,1400
M0319X197RUS,Ford Focus,2,13500
7368C8197RUS,Ford Focus,2,4400
9498KX178RUS,Ford Focus,1,800
Y653E8750RUS,Skoda Octavia,2,500
X762HY197RUS,Ford Focus,1,1000
T479KX197RUS,Ford Focus,1,12000
O136HO197RUS,Toyota Corolla,2,3900
96629X178RUS,Ford Focus,2,3500
H976HY161RUS,Ford Focus,2,1100
E316EH197RUS,Volkswagen Touareg,1,1300
Y359O8197RUS,Ford Focus,2,4000
98047H178RUS,Ford Focus,1,500
H966HY161RUS,Ford Focus,1,500
84438C154RUS,Ford Focus,2,7600
Y166O8161RUS,Ford Focus,1,100
9022CO161RUS,Ford Focus,2,500
8226XX154RUS,Ford Focus,1,500
C583EY154RUS,Ford Focus,1,2500
C581EY154RUS,Ford Focus,2,11600
X583HE161RUS,Ford Focus,2,3000
T6458M116RUS,Ford Focus,2,15000
Y163O8161RUS,Ford Focus,1,1600
T940CC96RUS,Ford Focus,1,500
H215X836RUS,Ford Focus,1,2600
9402KK197RUS,Toyota Camry,2,28800
M577M9197RUS,Skoda Octavia,1,3000
M5039X197RUS,Volkswagen Jetta,2,14800
E316EH197RUS,Volkswagen Touareg,1,1300
9141H8178RUS,Skoda Octavia,1,300
Y7249Y50RUS,Ford Focus,2,11000
